model;klasa;counts
Hyundai H;X;1
Toyota GR Supra;X;1
Hyundai Sonata;X;1
Hyundai Trajet;X;1
Jeep Avenger;X;1
Jeep Gladiator;X;1
Mercedes-Benz 250;X;1
Mazda Xedos;X;1
Mazda MPV;X;1
Mazda CX-9;X;1
Kia;X;1
Kia Shuma;X;1
Mazda 121;X;1
Opel Frontera;X;1
Opel Kadett;X;1
Peugeot;X;1
Fiat Uno;X;1
Toyota Carina;X;1
Chevrolet;X;1
Chevrolet Astro;X;1
Chevrolet Avalanche;X;1
Chevrolet Caprice;X;1
Suzuki Carry;X;1
Chevrolet Epica;X;1
Chevrolet Express;X;1
Chevrolet G;X;1
Chevrolet Hhr;X;1
Chevrolet Lacetti;X;1
Subaru 1800;X;1
Chevrolet Malibu;X;1
Chevrolet Suburban;X;1
Seat Cordoba;X;1
Seat;X;1
Renault Vel Satis;X;1
Renault Trafic;X;1
Renault Safrane;X;1
Renault R4;X;1
Citroen Nemo;X;1
Renault;X;1
Fiat Tempra;X;1
Mercedes-Benz 260;X;1
