model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;wiek_ogloszenia;link
Volkswagen Caddy;2023;33.8;37.48;-9.8;9.469;10.86;-12.8;163;autoscout24.ch/en/d/11311814
Volkswagen Caddy;2018;14.99;18.44;-18.7;79.22;86.1;-8.0;19;autoscout24.ch/en/d/11703943
Volkswagen Caddy;2018;14.99;18.44;-18.7;71.2;86.1;-17.3;19;autoscout24.ch/en/d/11703950
Volkswagen Caddy;2019;14.9;22.85;-34.8;60.4;75.0;-19.5;137;autoscout24.ch/en/d/11391045
Volkswagen Eos;2012;7.9;8.4;-6.0;132.0;148.3;-11.0;81;autoscout24.ch/en/d/11536121
Volkswagen Eos;2012;7.9;8.4;-6.0;125.0;148.3;-15.7;175;autoscout24.ch/en/d/11274434
Volkswagen Eos;2006;6.2;6.6;-6.1;91.5;110.62;-17.3;58;autoscout24.ch/en/d/11597975
Volkswagen Eos;2006;5.9;6.6;-10.6;49.0;110.62;-55.7;604;autoscout24.ch/en/d/10097849
Volkswagen Eos;2007;6.7;7.56;-11.4;114.221;155.77;-26.7;185;autoscout24.ch/en/d/11235306
Volkswagen Eos;2011;8.9;10.07;-11.6;111.9;147.5;-24.1;633;autoscout24.ch/en/d/9385113
Volkswagen Eos;2010;5.7;6.6;-13.6;83.0;103.32;-19.7;80;autoscout24.ch/en/d/11537493
Volkswagen Eos;2007;6.5;7.56;-14.0;119.5;155.77;-23.3;174;autoscout24.ch/en/d/11276400
Volkswagen Eos;2008;4.6;6.67;-31.0;134.0;141.16;-5.1;41;autoscout24.ch/en/d/11646950
Volkswagen Golf;2019;22.5;23.7;-5.1;58.0;75.35;-23.0;158;autoscout24.ch/en/d/11327976
Volkswagen Golf;2019;22.47;23.7;-5.2;52.5;75.35;-30.3;2;autoscout24.ch/en/d/11733794
Volkswagen Golf;1999;4.999;5.29;-5.5;117.152;152.18;-23.0;60;autoscout24.ch/en/d/11594384
Volkswagen Golf;1999;4.999;5.29;-5.5;107.0;152.18;-29.7;136;autoscout24.ch/en/d/11393148
Volkswagen Golf;2014;14.8;15.66;-5.5;89.0;129.57;-31.3;85;autoscout24.ch/en/d/11522194
Volkswagen Golf;2022;36.5;38.62;-5.5;14.0;27.06;-48.3;288;autoscout24.ch/en/d/10972021
Volkswagen Golf;2009;7.5;7.99;-6.1;113.4;151.48;-25.1;2;autoscout24.ch/en/d/11735424
Volkswagen Golf;2017;19.8;21.15;-6.4;49.0;101.56;-51.8;10;autoscout24.ch/en/d/11720536
Volkswagen Golf;2020;25.999;27.8;-6.5;52.8;56.18;-6.0;5;autoscout24.ch/en/d/11729579
Volkswagen Golf;2017;19.75;21.15;-6.6;53.0;101.56;-47.8;76;autoscout24.ch/en/d/11559622
Volkswagen Golf;2023;40.8;43.79;-6.8;11.0;16.94;-35.1;633;autoscout24.ch/en/d/9874086
Volkswagen Golf;2022;35.9;38.62;-7.0;14.9;27.06;-44.9;240;autoscout24.ch/en/d/11095774
Volkswagen Golf;2015;15.9;17.12;-7.1;85.0;126.37;-32.7;83;autoscout24.ch/en/d/11530365
Volkswagen Golf;2013;10.9;11.74;-7.2;116.0;135.26;-14.2;56;autoscout24.ch/en/d/11606807
Volkswagen Golf;2013;10.9;11.74;-7.2;69.0;135.26;-49.0;212;autoscout24.ch/en/d/11153234
Volkswagen Golf;2022;35.8;38.62;-7.3;21.6;27.06;-20.2;62;autoscout24.ch/en/d/11588618
Volkswagen Golf;2022;35.8;38.62;-7.3;21.0;27.06;-22.4;56;autoscout24.ch/en/d/11605525
Volkswagen Golf;2022;35.8;38.62;-7.3;19.5;27.06;-27.9;22;autoscout24.ch/en/d/11695303
Volkswagen Golf;2019;21.98;23.7;-7.3;47.0;75.35;-37.6;8;autoscout24.ch/en/d/11724025
Volkswagen Golf;1999;4.9;5.29;-7.4;126.3;152.18;-17.0;262;autoscout24.ch/en/d/11041766
Volkswagen Golf;1999;4.9;5.29;-7.4;113.5;152.18;-25.4;292;autoscout24.ch/en/d/10961690
Volkswagen Golf;2014;14.5;15.66;-7.4;89.0;129.57;-31.3;5;autoscout24.ch/en/d/11728828
Volkswagen Golf;2021;32.9;35.55;-7.5;36.0;39.91;-9.8;143;autoscout24.ch/en/d/11372573
Volkswagen Golf;2023;40.49;43.79;-7.5;10.5;16.94;-38.0;315;autoscout24.ch/en/d/10895503
Volkswagen Golf;2019;21.9;23.7;-7.6;51.2;75.35;-32.1;187;autoscout24.ch/en/d/11232689
Volkswagen Golf;2018;19.9;21.57;-7.7;76.3;95.47;-20.1;257;autoscout24.ch/en/d/11055930
Volkswagen Golf;2017;19.5;21.15;-7.8;85.0;101.56;-16.3;107;autoscout24.ch/en/d/11475735
Volkswagen Golf;2022;35.499;38.62;-8.1;22.34;27.06;-17.4;26;autoscout24.ch/en/d/11686736
Volkswagen Golf;2022;35.4;38.62;-8.3;14.0;27.06;-48.3;65;autoscout24.ch/en/d/11588027
Volkswagen Golf;2012;9.9;10.82;-8.5;127.0;144.22;-11.9;66;autoscout24.ch/en/d/11573771
Volkswagen Golf;2012;9.9;10.82;-8.5;112.0;144.22;-22.3;42;autoscout24.ch/en/d/11646798
Volkswagen Golf;2016;18.95;20.7;-8.5;34.9;102.91;-66.1;279;autoscout24.ch/en/d/10994576
Volkswagen Golf;2018;19.7;21.57;-8.7;83.9;95.47;-12.1;8;autoscout24.ch/en/d/11723925
Volkswagen Golf;2022;35.25;38.62;-8.7;22.7;27.06;-16.1;1;autoscout24.ch/en/d/11749163
Volkswagen Golf;2023;39.99;43.79;-8.7;13.4;16.94;-20.9;59;autoscout24.ch/en/d/11595924
Volkswagen Golf;2011;9.999;10.97;-8.9;141.5;149.66;-5.5;108;autoscout24.ch/en/d/11460559
Volkswagen Golf;2011;9.99;10.97;-8.9;109.0;149.66;-27.2;60;autoscout24.ch/en/d/11594421
Volkswagen Golf;2023;39.9;43.79;-8.9;4.115;16.94;-75.7;6;autoscout24.ch/en/d/11737663
Volkswagen Golf;2020;25.3;27.8;-9.0;46.1;56.18;-17.9;633;autoscout24.ch/en/d/9794005
Volkswagen Golf;2023;39.7;43.79;-9.3;12.7;16.94;-25.0;140;autoscout24.ch/en/d/11381512
Volkswagen Golf;2011;9.95;10.97;-9.3;86.0;149.66;-42.5;59;autoscout24.ch/en/d/11595736
Volkswagen Golf;2000;3.999;4.43;-9.7;89.0;179.54;-50.4;14;autoscout24.ch/en/d/11713338
Volkswagen Golf;2011;9.9;10.97;-9.8;136.0;149.66;-9.1;23;autoscout24.ch/en/d/11694733
Volkswagen Golf;2011;9.9;10.97;-9.8;115.0;149.66;-23.2;169;autoscout24.ch/en/d/11293203
Volkswagen Golf;2011;9.9;10.97;-9.8;96.0;149.66;-35.9;2;autoscout24.ch/en/d/11733863
Volkswagen Golf;2022;34.8;38.62;-9.9;21.0;27.06;-22.4;22;autoscout24.ch/en/d/11695500
Volkswagen Golf;2022;34.8;38.62;-9.9;16.0;27.06;-40.9;40;autoscout24.ch/en/d/11650496
Volkswagen Golf;2022;34.8;38.62;-9.9;14.3;27.06;-47.2;8;autoscout24.ch/en/d/11724333
Volkswagen Golf;2021;31.999;35.55;-10.0;27.0;39.91;-32.3;25;autoscout24.ch/en/d/11689217
Volkswagen Golf;2022;34.777;38.62;-10.0;11.5;27.06;-57.5;16;autoscout24.ch/en/d/11708596
Volkswagen Golf;2021;31.8;35.55;-10.5;27.999;39.91;-29.8;9;autoscout24.ch/en/d/11733654
Volkswagen Golf;2010;8.999;10.05;-10.5;75.0;142.53;-47.4;423;autoscout24.ch/en/d/10605170
Volkswagen Golf;2014;13.998;15.66;-10.6;89.0;129.57;-31.3;21;autoscout24.ch/en/d/11698038
Volkswagen Golf;2017;18.9;21.15;-10.6;55.0;101.56;-45.8;217;autoscout24.ch/en/d/11143503
Volkswagen Golf;2017;18.9;21.15;-10.6;22.0;101.56;-78.3;149;autoscout24.ch/en/d/11354058
Volkswagen Golf;2017;18.9;21.15;-10.6;7.2;101.56;-92.9;289;autoscout24.ch/en/d/10969506
Volkswagen Golf;2017;18.888;21.15;-10.7;59.6;101.56;-41.3;48;autoscout24.ch/en/d/11629727
Volkswagen Golf;2014;13.9;15.66;-11.2;94.3;129.57;-27.2;45;autoscout24.ch/en/d/11635297
Volkswagen Golf;2014;13.9;15.66;-11.2;69.0;129.57;-46.7;106;autoscout24.ch/en/d/11469568
Volkswagen Golf;2023;38.85;43.79;-11.3;11.75;16.94;-30.6;0;autoscout24.ch/en/d/11739849
Volkswagen Golf;2001;5.299;5.98;-11.4;126.9;167.42;-24.2;179;autoscout24.ch/en/d/11259226
Volkswagen Golf;2010;8.9;10.05;-11.4;98.8;142.53;-30.7;42;autoscout24.ch/en/d/11645779
Volkswagen Golf;2023;38.75;43.79;-11.5;8.8;16.94;-48.1;153;autoscout24.ch/en/d/11342513
Volkswagen Golf;2006;8.999;10.2;-11.8;163.0;183.07;-11.0;134;autoscout24.ch/en/d/11401486
Volkswagen Golf;2019;20.9;23.7;-11.8;43.15;75.35;-42.7;423;autoscout24.ch/en/d/10603971
Volkswagen Golf;2020;24.5;27.8;-11.9;31.0;56.18;-44.8;38;autoscout24.ch/en/d/11654524
Volkswagen Golf;2000;3.9;4.43;-12.0;165.2;179.54;-8.0;421;autoscout24.ch/en/d/10610032
Volkswagen Golf;2018;18.99;21.57;-12.0;85.5;95.47;-10.4;46;autoscout24.ch/en/d/11632714
Volkswagen Golf;2022;33.9;38.62;-12.2;24.9;27.06;-8.0;191;autoscout24.ch/en/d/11215532
Volkswagen Golf;2006;8.95;10.2;-12.3;172.0;183.07;-6.0;38;autoscout24.ch/en/d/11654003
Volkswagen Golf;2018;18.89;21.57;-12.4;78.0;95.47;-18.3;27;autoscout24.ch/en/d/11683786
Volkswagen Golf;2018;18.9;21.57;-12.4;73.8;95.47;-22.7;175;autoscout24.ch/en/d/11272880
Volkswagen Golf;1996;9.9;11.32;-12.5;185.0;195.94;-5.6;121;autoscout24.ch/en/d/11427059
Volkswagen Golf;2022;33.8;38.62;-12.5;19.3;27.06;-28.7;17;autoscout24.ch/en/d/11716958
Volkswagen Golf;2023;38.3;43.79;-12.5;11.275;16.94;-33.4;85;autoscout24.ch/en/d/11534626
Volkswagen Golf;2006;8.9;10.2;-12.7;90.0;183.07;-50.8;446;autoscout24.ch/en/d/10541208
Volkswagen Golf;2008;6.999;8.04;-12.9;97.3;160.79;-39.5;485;autoscout24.ch/en/d/10426406
Volkswagen Golf;2022;33.585;38.62;-13.0;16.99;27.06;-37.2;56;autoscout24.ch/en/d/11617407
Volkswagen Golf;2015;14.85;17.12;-13.3;99.95;126.37;-20.9;633;autoscout24.ch/en/d/8003570
Volkswagen Golf;2016;17.9;20.7;-13.5;83.0;102.91;-19.3;104;autoscout24.ch/en/d/11476213
Volkswagen Golf;2009;6.9;7.99;-13.6;141.0;151.48;-6.9;464;autoscout24.ch/en/d/10486063
Volkswagen Golf;2009;6.9;7.99;-13.6;129.4;151.48;-14.6;50;autoscout24.ch/en/d/11621668
Volkswagen Golf;2009;6.9;7.99;-13.6;124.0;151.48;-18.1;54;autoscout24.ch/en/d/11613569
Volkswagen Golf;2009;6.9;7.99;-13.6;112.0;151.48;-26.1;37;autoscout24.ch/en/d/11655414
Volkswagen Golf;2014;13.499;15.66;-13.8;115.5;129.57;-10.9;59;autoscout24.ch/en/d/11596807
Volkswagen Golf;2020;23.9;27.8;-14.0;50.0;56.18;-11.0;164;autoscout24.ch/en/d/11307392
Volkswagen Golf;2008;6.9;8.04;-14.2;152.3;160.79;-5.3;5;autoscout24.ch/en/d/11728436
Volkswagen Golf;2008;6.9;8.04;-14.2;81.0;160.79;-49.6;105;autoscout24.ch/en/d/11473788
Volkswagen Golf;2022;32.999;38.62;-14.6;25.0;27.06;-7.6;28;autoscout24.ch/en/d/11682162
Volkswagen Golf;2015;14.55;17.12;-15.0;58.3;126.37;-53.9;233;autoscout24.ch/en/d/11115161
Volkswagen Golf;2015;14.5;17.12;-15.3;101.999;126.37;-19.3;5;autoscout24.ch/en/d/11728825
Volkswagen Golf;2017;17.9;21.15;-15.4;62.3;101.56;-38.7;63;autoscout24.ch/en/d/11585939
Volkswagen Golf;2010;8.49;10.05;-15.5;106.0;142.53;-25.6;58;autoscout24.ch/en/d/11600100
Volkswagen Golf;2023;36.98;43.79;-15.6;15.8;16.94;-6.7;45;autoscout24.ch/en/d/11643211
Volkswagen Golf;2023;36.9;43.79;-15.7;15.9;16.94;-6.1;64;autoscout24.ch/en/d/11580690
Volkswagen Golf;2013;9.9;11.74;-15.7;126.0;135.26;-6.8;82;autoscout24.ch/en/d/11533898
Volkswagen Golf;2013;9.9;11.74;-15.7;122.0;135.26;-9.8;274;autoscout24.ch/en/d/11007663
Volkswagen Golf;2013;9.9;11.74;-15.7;116.0;135.26;-14.2;184;autoscout24.ch/en/d/11239315
Volkswagen Golf;2013;9.9;11.74;-15.7;107.0;135.26;-20.9;62;autoscout24.ch/en/d/11597383
Volkswagen Golf;2013;9.9;11.74;-15.7;105.0;135.26;-22.4;165;autoscout24.ch/en/d/11305471
Volkswagen Golf;2019;19.98;23.7;-15.7;46.233;75.35;-38.6;24;autoscout24.ch/en/d/11699645
Volkswagen Golf;2019;19.99;23.7;-15.7;43.8;75.35;-41.9;3;autoscout24.ch/en/d/11732278
Volkswagen Golf;2013;9.9;11.74;-15.7;77.0;135.26;-43.1;128;autoscout24.ch/en/d/11411512
Volkswagen Golf;2019;19.99;23.7;-15.7;37.95;75.35;-49.6;105;autoscout24.ch/en/d/11480892
Volkswagen Golf;2017;17.8;21.15;-15.8;61.9;101.56;-39.1;44;autoscout24.ch/en/d/11638416
Volkswagen Golf;2023;36.85;43.79;-15.8;7.1;16.94;-58.1;20;autoscout24.ch/en/d/11700975
Volkswagen Golf;2010;8.45;10.05;-15.9;127.5;142.53;-10.5;2;autoscout24.ch/en/d/11744025
Volkswagen Golf;2021;29.9;35.55;-15.9;29.9;39.91;-25.1;161;autoscout24.ch/en/d/11318821
Volkswagen Golf;2011;9.2;10.97;-16.1;123.6;149.66;-17.4;38;autoscout24.ch/en/d/11654155
Volkswagen Golf;2019;19.89;23.7;-16.1;31.96;75.35;-57.6;9;autoscout24.ch/en/d/11732960
Volkswagen Golf;2018;17.999;21.57;-16.6;76.0;95.47;-20.4;181;autoscout24.ch/en/d/11253147
Volkswagen Golf;2002;8.899;10.67;-16.6;138.0;193.01;-28.5;23;autoscout24.ch/en/d/11692503
Volkswagen Golf;2018;17.9;21.57;-17.0;83.7;95.47;-12.3;62;autoscout24.ch/en/d/11598649
Volkswagen Golf;2018;17.9;21.57;-17.0;74.6;95.47;-21.9;163;autoscout24.ch/en/d/11310827
Volkswagen Golf;2018;17.9;21.57;-17.0;56.4;95.47;-40.9;110;autoscout24.ch/en/d/11457489
Volkswagen Golf;2017;17.499;21.15;-17.3;81.0;101.56;-20.2;26;autoscout24.ch/en/d/11687149
Volkswagen Golf;2020;22.99;27.8;-17.3;35.0;56.18;-37.7;23;autoscout24.ch/en/d/11694147
Volkswagen Golf;2014;12.9;15.66;-17.6;118.55;129.57;-8.5;633;autoscout24.ch/en/d/9845102
Volkswagen Golf;2014;12.9;15.66;-17.6;110.0;129.57;-15.1;396;autoscout24.ch/en/d/10685138
Volkswagen Golf;2014;12.9;15.66;-17.6;106.5;129.57;-17.8;85;autoscout24.ch/en/d/11534718
Volkswagen Golf;2020;22.9;27.8;-17.6;43.5;56.18;-22.6;152;autoscout24.ch/en/d/11346737
Volkswagen Golf;2012;8.9;10.82;-17.7;100.0;144.22;-30.7;147;autoscout24.ch/en/d/11360988
Volkswagen Golf;2012;8.9;10.82;-17.7;58.0;144.22;-59.8;19;autoscout24.ch/en/d/11704047
Volkswagen Golf;2016;16.999;20.7;-17.9;21.152;102.91;-79.4;633;autoscout24.ch/en/d/9410230
Volkswagen Golf;2011;8.99;10.97;-18.0;41.79;149.66;-72.1;49;autoscout24.ch/en/d/11625351
Volkswagen Golf;2020;22.7;27.8;-18.3;43.6;56.18;-22.4;122;autoscout24.ch/en/d/11434346
Volkswagen Golf;2010;8.2;10.05;-18.4;76.0;142.53;-46.7;162;autoscout24.ch/en/d/11316783
Volkswagen Golf;2009;6.5;7.99;-18.6;128.0;151.48;-15.5;15;autoscout24.ch/en/d/11712325
Volkswagen Golf;2012;8.8;10.82;-18.7;128.0;144.22;-11.2;167;autoscout24.ch/en/d/11301146
Volkswagen Golf;2012;8.8;10.82;-18.7;107.234;144.22;-25.6;17;autoscout24.ch/en/d/11705760
Volkswagen Golf;2015;13.9;17.12;-18.8;99.35;126.37;-21.4;127;autoscout24.ch/en/d/11415512
Volkswagen Golf;2015;13.9;17.12;-18.8;50.0;126.37;-60.4;354;autoscout24.ch/en/d/10785574
Volkswagen Golf;2018;17.5;21.57;-18.9;90.0;95.47;-5.7;138;autoscout24.ch/en/d/11389986
Volkswagen Golf;2011;8.9;10.97;-18.9;132.658;149.66;-11.4;33;autoscout24.ch/en/d/11669832
Volkswagen Golf;2011;8.9;10.97;-18.9;118.15;149.66;-21.1;383;autoscout24.ch/en/d/10718668
Volkswagen Golf;2014;12.7;15.66;-18.9;99.0;129.57;-23.6;297;autoscout24.ch/en/d/10948393
Volkswagen Golf;2011;8.9;10.97;-18.9;113.0;149.66;-24.5;105;autoscout24.ch/en/d/11479586
Volkswagen Golf;2018;17.498;21.57;-18.9;55.114;95.47;-42.3;61;autoscout24.ch/en/d/11592572
Volkswagen Golf;2013;9.5;11.74;-19.1;123.5;135.26;-8.7;71;autoscout24.ch/en/d/11571820
Volkswagen Golf;2008;6.5;8.04;-19.2;149.0;160.79;-7.3;294;autoscout24.ch/en/d/10957530
Volkswagen Golf;2018;17.4;21.57;-19.3;52.0;95.47;-45.5;45;autoscout24.ch/en/d/11643075
Volkswagen Golf;2015;13.777;17.12;-19.5;87.5;126.37;-30.8;9;autoscout24.ch/en/d/11723077
Volkswagen Golf;2017;17.0;21.15;-19.6;88.0;101.56;-13.4;94;autoscout24.ch/en/d/11510059
Volkswagen Golf;2022;30.999;38.62;-19.7;10.5;27.06;-61.2;6;autoscout24.ch/en/d/11726638
Volkswagen Golf;2011;8.8;10.97;-19.8;119.0;149.66;-20.5;23;autoscout24.ch/en/d/11702081
Volkswagen Golf;2017;16.9;21.15;-20.1;82.7;101.56;-18.6;28;autoscout24.ch/en/d/11681958
Volkswagen Golf;2017;16.9;21.15;-20.1;45.7;101.56;-55.0;9;autoscout24.ch/en/d/11723201
Volkswagen Golf;2014;12.5;15.66;-20.2;123.0;129.57;-5.1;257;autoscout24.ch/en/d/11055624
Volkswagen Golf;2014;12.5;15.66;-20.2;92.4;129.57;-28.7;229;autoscout24.ch/en/d/11125706
Volkswagen Golf;2022;30.8;38.62;-20.2;19.0;27.06;-29.8;40;autoscout24.ch/en/d/11650565
Volkswagen Golf;2016;16.5;20.7;-20.3;93.0;102.91;-9.6;597;autoscout24.ch/en/d/10115362
Volkswagen Golf;2019;18.9;23.7;-20.3;67.6;75.35;-10.3;35;autoscout24.ch/en/d/11662561
Volkswagen Golf;2019;18.884;23.7;-20.3;42.85;75.35;-43.1;65;autoscout24.ch/en/d/11590326
Volkswagen Golf;2012;8.6;10.82;-20.5;117.0;144.22;-18.9;73;autoscout24.ch/en/d/11555687
Volkswagen Golf;2017;16.8;21.15;-20.6;79.8;101.56;-21.4;30;autoscout24.ch/en/d/11686265
Volkswagen Golf;2017;16.8;21.15;-20.6;79.8;101.56;-21.4;140;autoscout24.ch/en/d/11382537
Volkswagen Golf;2019;18.8;23.7;-20.7;70.5;75.35;-6.4;194;autoscout24.ch/en/d/11208283
Volkswagen Golf;2019;18.8;23.7;-20.7;49.8;75.35;-33.9;154;autoscout24.ch/en/d/11340224
Volkswagen Golf;2007;6.25;7.91;-21.0;90.456;173.47;-47.9;200;autoscout24.ch/en/d/11187045
Volkswagen Golf;2023;34.5;43.79;-21.2;13.0;16.94;-23.3;41;autoscout24.ch/en/d/11657514
Volkswagen Golf;2012;8.5;10.82;-21.4;121.0;144.22;-16.1;633;autoscout24.ch/en/d/6370075
Volkswagen Golf;2019;18.6;23.7;-21.5;71.0;75.35;-5.8;35;autoscout24.ch/en/d/11672114
Volkswagen Golf;2011;8.6;10.97;-21.6;133.0;149.66;-11.1;41;autoscout24.ch/en/d/11655879
Volkswagen Golf;2018;16.9;21.57;-21.7;87.0;95.47;-8.9;12;autoscout24.ch/en/d/11718880
Volkswagen Golf;2019;18.5;23.7;-21.9;66.0;75.35;-12.4;14;autoscout24.ch/en/d/11712957
Volkswagen Golf;2017;16.4;21.15;-22.5;92.95;101.56;-8.5;54;autoscout24.ch/en/d/11612256
Volkswagen Golf;2011;8.5;10.97;-22.5;129.9;149.66;-13.2;127;autoscout24.ch/en/d/11415274
Volkswagen Golf;2023;33.9;43.79;-22.6;15.0;16.94;-11.5;517;autoscout24.ch/en/d/10334592
Volkswagen Golf;2023;33.9;43.79;-22.6;14.9;16.94;-12.0;64;autoscout24.ch/en/d/11580707
Volkswagen Golf;2016;15.99;20.7;-22.8;87.5;102.91;-15.0;29;autoscout24.ch/en/d/11676980
Volkswagen Golf;2016;15.98;20.7;-22.8;77.7;102.91;-24.5;1;autoscout24.ch/en/d/11738882
Volkswagen Golf;2016;15.9;20.7;-23.2;89.8;102.91;-12.7;7;autoscout24.ch/en/d/11726422
Volkswagen Golf;2018;16.5;21.57;-23.5;32.0;95.47;-66.5;633;autoscout24.ch/en/d/9889929
Volkswagen Golf;2018;16.49;21.57;-23.6;51.0;95.47;-46.6;62;autoscout24.ch/en/d/11590890
Volkswagen Golf;2016;15.8;20.7;-23.7;76.203;102.91;-26.0;107;autoscout24.ch/en/d/11463634
Volkswagen Golf;2023;33.39;43.79;-23.7;8.9;16.94;-47.5;97;autoscout24.ch/en/d/11504771
Volkswagen Golf;2014;11.9;15.66;-24.0;110.0;129.57;-15.1;231;autoscout24.ch/en/d/11120611
Volkswagen Golf;2014;11.9;15.66;-24.0;102.6;129.57;-20.8;21;autoscout24.ch/en/d/11699924
Volkswagen Golf;2014;11.9;15.66;-24.0;99.7;129.57;-23.1;67;autoscout24.ch/en/d/11582583
Volkswagen Golf;2014;11.9;15.66;-24.0;99.0;129.57;-23.6;345;autoscout24.ch/en/d/10808523
Volkswagen Golf;2014;11.9;15.66;-24.0;95.5;129.57;-26.3;213;autoscout24.ch/en/d/11150468
Volkswagen Golf;2021;26.98;35.55;-24.1;29.254;39.91;-26.7;3;autoscout24.ch/en/d/11743095
Volkswagen Golf;2015;12.99;17.12;-24.1;58.356;126.37;-53.8;18;autoscout24.ch/en/d/11704575
Volkswagen Golf;2016;15.7;20.7;-24.2;95.0;102.91;-7.7;17;autoscout24.ch/en/d/11715506
Volkswagen Golf;2013;8.9;11.74;-24.2;93.499;135.26;-30.9;38;autoscout24.ch/en/d/11653449
Volkswagen Golf;2020;20.99;27.8;-24.5;52.2;56.18;-7.1;2;autoscout24.ch/en/d/11733261
Volkswagen Golf;2020;20.99;27.8;-24.5;46.99;56.18;-16.4;2;autoscout24.ch/en/d/11733279
Volkswagen Golf;2014;11.8;15.66;-24.6;114.0;129.57;-12.0;10;autoscout24.ch/en/d/11720676
Volkswagen Golf;2015;12.9;17.12;-24.6;100.5;126.37;-20.5;5;autoscout24.ch/en/d/11728781
Volkswagen Golf;2015;12.9;17.12;-24.6;94.0;126.37;-25.6;149;autoscout24.ch/en/d/11354115
Volkswagen Golf;2015;12.9;17.12;-24.6;80.0;126.37;-36.7;172;autoscout24.ch/en/d/11283742
Volkswagen Golf;2015;12.9;17.12;-24.6;63.5;126.37;-49.8;61;autoscout24.ch/en/d/11592491
Volkswagen Golf;2017;15.9;21.15;-24.8;82.6;101.56;-18.7;8;autoscout24.ch/en/d/11724359
Volkswagen Golf;2016;15.5;20.7;-25.1;85.0;102.91;-17.4;114;autoscout24.ch/en/d/11445992
Volkswagen Golf;2015;12.8;17.12;-25.2;111.0;126.37;-12.2;8;autoscout24.ch/en/d/11734293
Volkswagen Golf;2014;11.7;15.66;-25.3;99.8;129.57;-23.0;121;autoscout24.ch/en/d/11427740
Volkswagen Golf;2010;7.499;10.05;-25.4;134.0;142.53;-6.0;175;autoscout24.ch/en/d/11276243
Volkswagen Golf;2007;5.9;7.91;-25.4;143.0;173.47;-17.6;77;autoscout24.ch/en/d/11547594
Volkswagen Golf;2007;5.9;7.91;-25.4;141.0;173.47;-18.7;41;autoscout24.ch/en/d/11648347
Volkswagen Golf;2010;7.5;10.05;-25.4;112.0;142.53;-21.4;254;autoscout24.ch/en/d/11061867
Volkswagen Golf;2007;5.9;7.91;-25.4;123.8;173.47;-28.6;35;autoscout24.ch/en/d/11663892
Volkswagen Golf;2009;5.9;7.99;-26.2;139.9;151.48;-7.6;61;autoscout24.ch/en/d/11592050
Volkswagen Golf;2019;17.5;23.7;-26.2;60.0;75.35;-20.4;200;autoscout24.ch/en/d/11187303
Volkswagen Golf;1999;3.9;5.29;-26.3;128.0;152.18;-15.9;59;autoscout24.ch/en/d/11595844
Volkswagen Golf;1999;3.9;5.29;-26.3;79.8;152.18;-47.6;6;autoscout24.ch/en/d/11727785
Volkswagen Golf;2014;11.5;15.66;-26.6;56.0;129.57;-56.8;93;autoscout24.ch/en/d/11502926
Volkswagen Golf;2005;5.5;7.5;-26.7;118.5;171.11;-30.7;260;autoscout24.ch/en/d/11046536
Volkswagen Golf;2005;5.5;7.5;-26.7;100.0;171.11;-41.6;633;autoscout24.ch/en/d/9038813
Volkswagen Golf;2023;31.999;43.79;-26.9;12.9;16.94;-23.8;124;autoscout24.ch/en/d/11419765
Volkswagen Golf;2023;31.999;43.79;-26.9;10.9;16.94;-35.7;124;autoscout24.ch/en/d/11419892
Volkswagen Golf;2019;17.3;23.7;-27.0;71.0;75.35;-5.8;8;autoscout24.ch/en/d/11735889
Volkswagen Golf;2012;7.9;10.82;-27.0;127.0;144.22;-11.9;59;autoscout24.ch/en/d/11595495
Volkswagen Golf;2015;12.49;17.12;-27.0;104.8;126.37;-17.1;139;autoscout24.ch/en/d/11386066
Volkswagen Golf;2015;12.5;17.12;-27.0;93.49;126.37;-26.0;104;autoscout24.ch/en/d/11474014
Volkswagen Golf;2011;8.0;10.97;-27.1;138.5;149.66;-7.5;13;autoscout24.ch/en/d/11716694
Volkswagen Golf;2011;7.999;10.97;-27.1;136.5;149.66;-8.8;197;autoscout24.ch/en/d/11196166
Volkswagen Golf;2019;17.104;23.7;-27.8;51.15;75.35;-32.1;65;autoscout24.ch/en/d/11590325
Volkswagen Golf;2012;7.8;10.82;-27.9;93.5;144.22;-35.2;633;autoscout24.ch/en/d/9551622
Volkswagen Golf;2016;14.9;20.7;-28.0;88.45;102.91;-14.1;8;autoscout24.ch/en/d/11724978
Volkswagen Golf;2016;14.9;20.7;-28.0;86.268;102.91;-16.2;41;autoscout24.ch/en/d/11648337
Volkswagen Golf;2016;14.9;20.7;-28.0;40.0;102.91;-61.1;37;autoscout24.ch/en/d/11656610
Volkswagen Golf;2004;6.5;9.06;-28.3;101.0;150.07;-32.7;66;autoscout24.ch/en/d/11576433
Volkswagen Golf;2019;16.999;23.7;-28.3;40.0;75.35;-46.9;264;autoscout24.ch/en/d/11037546
Volkswagen Golf;2019;16.9;23.7;-28.7;64.0;75.35;-15.1;125;autoscout24.ch/en/d/11426333
Volkswagen Golf;2012;7.7;10.82;-28.8;116.0;144.22;-19.6;52;autoscout24.ch/en/d/11615752
Volkswagen Golf;2023;30.89;43.79;-29.5;9.3;16.94;-45.1;111;autoscout24.ch/en/d/11464176
Volkswagen Golf;2017;14.85;21.15;-29.8;40.0;101.56;-60.6;1;autoscout24.ch/en/d/11738087
